model,landscape,replicate,cv_fold,sequence_length,data_split,pearson_r,r2,mse
blstm,k5,r2,0,500,train,0.013820904455528082,-0.04504954814910889,0.020902446244616766
blstm,k5,r2,0,500,test,-0.0022924517013525325,-0.04266679286956787,0.021223379857838155
cnn,k0,r5,0,10,train,0.9982710880284409,0.991927981376648,0.00014742673144945386
cnn,k0,r5,0,10,test,0.9982737522249263,0.9919155836105347,0.00015006172470748423
cnn,k0,r5,0,50,train,0.9985400753269247,0.9727978706359863,0.0004957989654748848
cnn,k0,r5,0,50,test,0.998567193873452,0.9733899831771851,0.0004934331343974918
cnn,k0,r5,0,100,train,0.9998676562178235,0.9973025321960449,4.926707888922752e-05
cnn,k0,r5,0,100,test,0.9998701293915606,0.9973521828651428,4.9291956383967775e-05
cnn,k0,r5,0,200,train,0.9999980046794176,0.9999856948852539,2.6112311649887633e-07
cnn,k0,r5,0,200,test,0.9999979960870491,0.9999855160713196,2.7034380138957205e-07
cnn,k0,r5,0,250,train,0.999988414006731,0.999976634979248,4.261535741227055e-07
cnn,k0,r5,0,250,test,0.9999886111275661,0.9999769330024719,4.288565463639316e-07
cnn,k0,r5,0,500,train,0.9999999185202768,1.0,2.2244481407013446e-10
cnn,k0,r5,0,500,test,0.9999999762764537,1.0,2.1897914315172072e-10
cnn,k0,r4,0,10,train,0.9980400425603534,0.9913439750671387,0.00018003126943336896
cnn,k0,r4,0,10,test,0.9980096791735256,0.9912405014038086,0.0001828486769227311
cnn,k0,r4,0,50,train,0.9981996868725023,0.9926303625106812,0.00015309169324801157
cnn,k0,r4,0,50,test,0.99817327841822,0.9925726056098938,0.00015573807759210466
cnn,k0,r4,0,100,train,0.9996989340413911,0.9633168578147888,0.0007636287206734874
cnn,k0,r4,0,100,test,0.9997021068833488,0.9635158181190491,0.0007617344381287694
cnn,k0,r4,0,200,train,0.9999900308447484,0.9999089241027832,1.893862123029681e-06
cnn,k0,r4,0,200,test,0.9999900223557395,0.9999099373817444,1.8945910255752097e-06
cnn,k0,r4,0,250,train,0.9999953166639809,0.9999691247940063,6.416346730327712e-07
cnn,k0,r4,0,250,test,0.9999953944695512,0.9999694228172302,6.440002721319615e-07
