model,landscape,replicate,train position,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k1,r6,1,E,0.7656771981025203,0.5434072017669678,0.008798858150839806,
blstm,k1,r6,1,D,0.7160173543169251,0.17470782995224,0.018313429784029722,
blstm,k1,r6,2,train,0.9980852787821214,0.996146023273468,9.148746903520077e-05,
blstm,k1,r6,2,G,0.6678012580005124,-0.0010870695114135742,0.017639195080846548,
blstm,k1,r6,2,F,0.49111892793078527,-0.09580409526824951,0.02608880726620555,
blstm,k1,r6,2,C,0.7748899484049749,0.5321204662322998,0.008711113361641765,
blstm,k1,r6,2,E,0.5838741830696477,0.08626598119735718,0.017697034520097077,
blstm,k1,r6,2,D,0.4526268742597365,-0.6368646621704102,0.037142641842365265,
blstm,k1,r6,3,train,0.9977643038428337,0.9950926899909973,0.00011166592412337195,
blstm,k1,r6,3,G,0.18432792805549586,-0.8954818248748779,0.03635474340990186,
blstm,k1,r6,3,F,0.09457565984675886,-1.0852339267730713,0.04816292226314545,
blstm,k1,r6,3,C,0.2697175977232136,-0.6933767795562744,0.02876044623553753,
blstm,k1,r6,3,E,0.6856187540291998,0.3000670075416565,0.015374413691461086,
blstm,k1,r6,3,D,0.31727592809663063,-0.8817456960678101,0.03321667481213808,
blstm,k1,r6,4,train,0.9972905331832188,0.9940991401672363,0.0001288392231799662,
blstm,k1,r6,4,G,0.6708152552017319,-0.05725455284118652,0.02224156027659774,
blstm,k1,r6,4,F,0.8480691603082514,0.2938591241836548,0.015343630220741034,
blstm,k1,r6,4,C,0.821565008762742,0.632522463798523,0.008292106678709388,
blstm,k1,r6,4,E,0.7900570338901933,0.42909157276153564,0.011310999980196357,
blstm,k1,r6,4,D,0.6074110431280643,-1.719351053237915,0.05610738694667816,
blstm,k1,r6,5,train,0.998113345011717,0.996112585067749,7.155344246712048e-05,
blstm,k1,r6,5,G,0.7262818502183568,0.17349398136138916,0.015001275343820453,
blstm,k1,r6,5,F,0.7213203673371854,0.44692492485046387,0.01114613888785243,
blstm,k1,r6,5,C,0.7840075759069269,0.6114875078201294,0.00907680531963706,
