model,landscape,replicate,cv_fold,data_split,pearson_r,r2,mse,train_epochs
transformer,k0,r4,0,test,0.9985411435933956,0.996982303864238,6.328016315819696e-05,
transformer,k0,r0,0,train,0.997532141861444,0.9949280876967518,0.00011395405492389967,13.0
transformer,k0,r0,0,test,0.9975483165737714,0.9949334444603795,0.00011606332700466737,
transformer,k0,r7,0,train,0.9994446170632846,0.9987998861086115,2.7306272386340424e-05,18.0
transformer,k0,r7,0,test,0.9994692246427375,0.9988461676196336,2.6015605180873534e-05,
transformer,k1,r2,0,train,0.9908793577620085,0.9811940818396663,0.00039578921400549775,53.0
transformer,k1,r2,0,test,0.9906092279876546,0.9806654097925176,0.0004053960787132382,
transformer,k1,r4,0,train,0.9871116652899773,0.9713338184044339,0.0006565905182230237,32.0
transformer,k1,r4,0,test,0.9867509871574861,0.9707614238392385,0.000665828469209373,
transformer,k1,r0,0,train,0.9896594295719893,0.9787930694948708,0.0004222850977002006,45.0
transformer,k1,r0,0,test,0.9897094698591893,0.9787947692202653,0.00042827481520362197,
transformer,k1,r7,0,train,0.9890726273099893,0.9782586062832721,0.000527878101964138,27.0
transformer,k1,r7,0,test,0.9886265577494527,0.9773808649424102,0.0005466990172863006,
transformer,k2,r2,0,train,0.9714531130891991,0.9409152935953019,0.0010759472283289621,68.0
transformer,k2,r2,0,test,0.9672595577112201,0.9335857828198639,0.0012078957865014673,
transformer,k2,r4,0,train,0.9675696599370679,0.9340848197533744,0.0013327802482404206,47.0
transformer,k2,r4,0,test,0.9636880196783244,0.9268545834042916,0.0014557293150573968,
transformer,k2,r0,0,train,0.9623533821637232,0.9256780721080994,0.0016309582003343262,66.0
transformer,k2,r0,0,test,0.9558314842880341,0.9129135095763465,0.0019069508416578174,
transformer,k2,r7,0,train,0.970872646513871,0.9416251361437288,0.001169977819939193,70.0
transformer,k2,r7,0,test,0.9668432606050169,0.9345550230486365,0.0013087832368910313,
transformer,k3,r2,0,train,0.1883601315769493,0.032599136297270626,0.01944364215198316,27.0
transformer,k3,r2,0,test,0.16650411758716172,0.02663205212428066,0.01916473135352135,
