model,landscape,replicate,train position,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k2,r4,3,E,0.09995142531400436,-0.1553483009338379,0.023968167137354612,
blstm,k2,r4,3,D,0.1673582931007167,-0.13172638416290283,0.02124548493884504,
blstm,k2,r4,4,train,0.30029065656431264,0.0571293830871582,0.01924823597073555,
blstm,k2,r4,4,G,0.2494946049862494,-0.13521718978881836,0.02124643325805664,
blstm,k2,r4,4,F,0.2939424329559759,-0.0069304704666137695,0.019845545757561922,
blstm,k2,r4,4,C,0.24419568604094533,-0.02209293842315674,0.019193402491509914,
blstm,k2,r4,4,E,0.28841536493338815,-0.08113062381744385,0.022323542274534702,
blstm,k2,r4,4,D,0.23598084039501988,-0.08386218547821045,0.024338216055184603,
blstm,k2,r4,5,train,0.29931396455060644,0.08397400379180908,0.01923915185034275,
blstm,k2,r4,5,G,0.20126389081780285,-0.48194682598114014,0.02896918263286352,
blstm,k2,r4,5,F,0.08681673196501594,-0.2891331911087036,0.028217310085892677,
blstm,k2,r4,5,C,0.06395069730210112,-0.9232739210128784,0.029809556435793638,
blstm,k2,r4,5,E,0.17493701288385233,-1.2012295722961426,0.03752724174410105,
blstm,k2,r4,5,D,0.04602281940979669,-0.6877145767211914,0.03419275628402829,
blstm,k3,r5,0,train,0.18274412995175582,0.0302354097366333,0.020090473350137472,
blstm,k3,r5,0,G,-0.02052458936448498,-0.05226457118988037,0.02039128914475441,
blstm,k3,r5,0,F,0.07124355697275142,-0.015113234519958496,0.020477204117923975,
blstm,k3,r5,0,C,0.05768914472542164,-0.019203662872314453,0.020098337903618813,
blstm,k3,r5,0,E,0.04019848731153558,-0.030704379081726074,0.020771094132214785,
blstm,k3,r5,0,D,-0.02440715998260634,-0.06969761848449707,0.020062137860804796,
blstm,k3,r5,1,train,0.23515672338304805,0.0322532057762146,0.01890463288873434,
blstm,k3,r5,1,G,0.009680042381428833,-0.03370082378387451,0.019695633556693792,
blstm,k3,r5,1,F,0.058341736404154076,-0.01527261734008789,0.019703546538949013,
blstm,k3,r5,1,C,-0.02780252469473332,-0.0575481653213501,0.019676730036735535,
blstm,k3,r5,1,E,0.0031962173984256825,-0.041181325912475586,0.022268094588071108,
blstm,k3,r5,1,D,0.0745947338807963,-0.006942272186279297,0.020821145735681057,
blstm,k3,r5,2,train,0.1352038750973109,0.016580402851104736,0.020002645440399647,
blstm,k3,r5,2,G,0.07689191535954043,0.0026175379753112793,0.01991218328475952,
blstm,k3,r5,2,F,0.07262386934362339,0.0007546544075012207,0.01929095247760415,
blstm,k3,r5,2,C,0.0876284069116462,0.006162464618682861,0.020363740157335997,
blstm,k3,r5,2,E,0.08628103723557778,-0.0032602548599243164,0.01950027560815215,
blstm,k3,r5,2,D,0.06349316816692818,-0.0006347894668579102,0.01903793215751648,
blstm,k3,r5,3,train,0.14039704159573452,-0.0028165578842163086,0.019606206566095352,
blstm,k3,r5,3,G,0.11534087465034437,-0.06515014171600342,0.02196456864476204,
blstm,k3,r5,3,F,0.12049206298701143,-0.15459346771240234,0.022761893924325705,
blstm,k3,r5,3,C,0.11538586794258641,-0.12059450149536133,0.0216384120285511,
blstm,k3,r5,3,E,0.07581540138156373,-0.1444716453552246,0.021669970359653234,
blstm,k3,r5,3,D,0.04223359086988521,-0.06512761116027832,0.02174183214083314,
blstm,k3,r5,4,train,0.10512719602319376,0.009907066822052002,0.019560141023248434,
blstm,k3,r5,4,G,-0.018822102591032397,-0.14205479621887207,0.02339724311605096,
blstm,k3,r5,4,F,0.06392526477170057,-0.025699138641357422,0.019545143470168114,
blstm,k3,r5,4,C,-0.0009407779833012775,-0.03195619583129883,0.02035103691741824,
blstm,k3,r5,4,E,0.06617598138271963,-0.027670741081237793,0.02014350611716509,
blstm,k3,r5,4,D,0.11978895227648345,-0.005156040191650391,0.01924726041033864,
blstm,k3,r5,5,train,0.19264940081731358,0.02155846357345581,0.01891143247485161,
blstm,k3,r5,5,G,0.12641492793753084,-1.4114317893981934,0.04746898263692856,
blstm,k3,r5,5,F,0.0827504520419855,-0.5476633310317993,0.030883945059031248,
blstm,k3,r5,5,C,0.0009715637299042568,-0.6687180995941162,0.031997354701161385,
blstm,k3,r5,5,E,0.06912678764318247,-0.9716250896453857,0.03919159062206745,
